URL,Final URL after redirects,Canonical URL,Self-canonical?,Canonical target status,Canonical target indexable?,Duplicate canonical group,Query URL canonical behavior,Issue,Recommendation
/blouses,/blouses,https://www.fromthetrunk.shop/blouses,yes,200,verify robots in target row,/blouses,n/a,,
/guides/what-is-a-pre-loved-saree,/guides/what-is-a-pre-loved-saree,https://www.fromthetrunk.shop/guides/what-is-a-pre-loved-saree,yes,200,verify robots in target row,/guides/what-is-a-pre-loved-saree,n/a,,
/guides/pre-loved-vs-second-hand-saree,/guides/pre-loved-vs-second-hand-saree,https://www.fromthetrunk.shop/guides/pre-loved-vs-second-hand-saree,yes,200,verify robots in target row,/guides/pre-loved-vs-second-hand-saree,n/a,,
/collection/tangerine-noir-floral-border-weave,/collection/tangerine-noir-floral-border-weave,https://www.fromthetrunk.shop/collection/tangerine-noir-floral-border-weave,yes,200,verify robots in target row,/collection/tangerine-noir-floral-border-weave,n/a,,
/collection/sunset-ombr-chiffon-draped-dream,/collection/sunset-ombr-chiffon-draped-dream,https://www.fromthetrunk.shop/collection/sunset-ombr-chiffon-draped-dream,yes,200,verify robots in target row,/collection/sunset-ombr-chiffon-draped-dream,n/a,,
/collection/indigo-plum-tied-silk-saree,/collection/indigo-plum-tied-silk-saree,https://www.fromthetrunk.shop/collection/indigo-plum-tied-silk-saree,yes,200,verify robots in target row,/collection/indigo-plum-tied-silk-saree,n/a,,
/collection/forest-flame-tie-dye-silk,/collection/forest-flame-tie-dye-silk,https://www.fromthetrunk.shop/collection/forest-flame-tie-dye-silk,yes,200,verify robots in target row,/collection/forest-flame-tie-dye-silk,n/a,,
/collection/moonstone-cream-mauve-border-saree,/collection/moonstone-cream-mauve-border-saree,https://www.fromthetrunk.shop/collection/moonstone-cream-mauve-border-saree,yes,200,verify robots in target row,/collection/moonstone-cream-mauve-border-saree,n/a,,
/collection/marigold-moss-cotton,/collection/marigold-moss-cotton,https://www.fromthetrunk.shop/collection/marigold-moss-cotton,yes,200,verify robots in target row,/collection/marigold-moss-cotton,n/a,,
/collection/midnight-garden-georgette-saree,/collection/midnight-garden-georgette-saree,https://www.fromthetrunk.shop/collection/midnight-garden-georgette-saree,yes,200,verify robots in target row,/collection/midnight-garden-georgette-saree,n/a,,
/collection/verdant-bloom-silk-burgundy-gold-border,/collection/verdant-bloom-silk-burgundy-gold-border,https://www.fromthetrunk.shop/collection/verdant-bloom-silk-burgundy-gold-border,yes,200,verify robots in target row,/collection/verdant-bloom-silk-burgundy-gold-border,n/a,,
/collection/pink-katan-triangle-zari-edge,/collection/pink-katan-triangle-zari-edge,https://www.fromthetrunk.shop/collection/pink-katan-triangle-zari-edge,yes,200,verify robots in target row,/collection/pink-katan-triangle-zari-edge,n/a,,
/collection/forest-green-silk-black-gold,/collection/forest-green-silk-black-gold,https://www.fromthetrunk.shop/collection/forest-green-silk-black-gold,yes,200,verify robots in target row,/collection/forest-green-silk-black-gold,n/a,,
/collection/teal-blue-moody-silk-drape,/collection/teal-blue-moody-silk-drape,https://www.fromthetrunk.shop/collection/teal-blue-moody-silk-drape,yes,200,verify robots in target row,/collection/teal-blue-moody-silk-drape,n/a,,
/collection/rose-silk-green-brown-stripe,/collection/rose-silk-green-brown-stripe,https://www.fromthetrunk.shop/collection/rose-silk-green-brown-stripe,yes,200,verify robots in target row,/collection/rose-silk-green-brown-stripe,n/a,,
/collection/mustard-organza-brown-border-drape,/collection/mustard-organza-brown-border-drape,https://www.fromthetrunk.shop/collection/mustard-organza-brown-border-drape,yes,200,verify robots in target row,/collection/mustard-organza-brown-border-drape,n/a,,
/collection/charcoal-gold-organza-heirloom-drape,/collection/charcoal-gold-organza-heirloom-drape,https://www.fromthetrunk.shop/collection/charcoal-gold-organza-heirloom-drape,yes,200,verify robots in target row,/collection/charcoal-gold-organza-heirloom-drape,n/a,,
/collection/beige-organza-peach-bloom,/collection/beige-organza-peach-bloom,https://www.fromthetrunk.shop/collection/beige-organza-peach-bloom,yes,200,verify robots in target row,/collection/beige-organza-peach-bloom,n/a,,
/collection/maroon-chettinad-cotton,/collection/maroon-chettinad-cotton,https://www.fromthetrunk.shop/collection/maroon-chettinad-cotton,yes,200,verify robots in target row,/collection/maroon-chettinad-cotton,n/a,,
/collection/deep-wine-organza,/collection/deep-wine-organza,https://www.fromthetrunk.shop/collection/deep-wine-organza,yes,200,verify robots in target row,/collection/deep-wine-organza,n/a,,
/collection/indigo-dusk-silk-cotton,/collection/indigo-dusk-silk-cotton,https://www.fromthetrunk.shop/collection/indigo-dusk-silk-cotton,yes,200,verify robots in target row,/collection/indigo-dusk-silk-cotton,n/a,,
/collection/reddish-mango-cotton-orange-border,/collection/reddish-mango-cotton-orange-border,https://www.fromthetrunk.shop/collection/reddish-mango-cotton-orange-border,yes,200,verify robots in target row,/collection/reddish-mango-cotton-orange-border,n/a,,
/collection/magenta-cotton,/collection/magenta-cotton,https://www.fromthetrunk.shop/collection/magenta-cotton,yes,200,verify robots in target row,/collection/magenta-cotton,n/a,,
/collection/red-blue-madras-check-cotton,/collection/red-blue-madras-check-cotton,https://www.fromthetrunk.shop/collection/red-blue-madras-check-cotton,yes,200,verify robots in target row,/collection/red-blue-madras-check-cotton,n/a,,
/collection/twilight-orange-cotton-weave,/collection/twilight-orange-cotton-weave,https://www.fromthetrunk.shop/collection/twilight-orange-cotton-weave,yes,200,verify robots in target row,/collection/twilight-orange-cotton-weave,n/a,,
/collection/lime-and-gold-cotton-classic,/collection/lime-and-gold-cotton-classic,https://www.fromthetrunk.shop/collection/lime-and-gold-cotton-classic,yes,200,verify robots in target row,/collection/lime-and-gold-cotton-classic,n/a,,
/collection/midnight-tribe-gold-border-cotton,/collection/midnight-tribe-gold-border-cotton,https://www.fromthetrunk.shop/collection/midnight-tribe-gold-border-cotton,yes,200,verify robots in target row,/collection/midnight-tribe-gold-border-cotton,n/a,,
/collection/autumn-ember-golden-leaf-cotton,/collection/autumn-ember-golden-leaf-cotton,https://www.fromthetrunk.shop/collection/autumn-ember-golden-leaf-cotton,yes,200,verify robots in target row,/collection/autumn-ember-golden-leaf-cotton,n/a,,
/collection/orange-blossom-cotton-weave,/collection/orange-blossom-cotton-weave,https://www.fromthetrunk.shop/collection/orange-blossom-cotton-weave,yes,200,verify robots in target row,/collection/orange-blossom-cotton-weave,n/a,,
/collection/midnight-kesari-cotton-drape,/collection/midnight-kesari-cotton-drape,https://www.fromthetrunk.shop/collection/midnight-kesari-cotton-drape,yes,200,verify robots in target row,/collection/midnight-kesari-cotton-drape,n/a,,
/collection/blush-green-handwoven-cotton-drape,/collection/blush-green-handwoven-cotton-drape,https://www.fromthetrunk.shop/collection/blush-green-handwoven-cotton-drape,yes,200,verify robots in target row,/collection/blush-green-handwoven-cotton-drape,n/a,,
/collection/brown-kapi-cotton-black-line-border,/collection/brown-kapi-cotton-black-line-border,https://www.fromthetrunk.shop/collection/brown-kapi-cotton-black-line-border,yes,200,verify robots in target row,/collection/brown-kapi-cotton-black-line-border,n/a,,
/collection/brown-and-mustard-light-silk,/collection/brown-and-mustard-light-silk,https://www.fromthetrunk.shop/collection/brown-and-mustard-light-silk,yes,200,verify robots in target row,/collection/brown-and-mustard-light-silk,n/a,,
/collection/kesari-sunset-chiffon-saree,/collection/kesari-sunset-chiffon-saree,https://www.fromthetrunk.shop/collection/kesari-sunset-chiffon-saree,yes,200,verify robots in target row,/collection/kesari-sunset-chiffon-saree,n/a,,
/collection/magenta-mist-chiffon-drape,/collection/magenta-mist-chiffon-drape,https://www.fromthetrunk.shop/collection/magenta-mist-chiffon-drape,yes,200,verify robots in target row,/collection/magenta-mist-chiffon-drape,n/a,,
/collection/green-chiffon-with-fancy-border,/collection/green-chiffon-with-fancy-border,https://www.fromthetrunk.shop/collection/green-chiffon-with-fancy-border,yes,200,verify robots in target row,/collection/green-chiffon-with-fancy-border,n/a,,
/collection/rani-pink-georgette-garden-party,/collection/rani-pink-georgette-garden-party,https://www.fromthetrunk.shop/collection/rani-pink-georgette-garden-party,yes,200,verify robots in target row,/collection/rani-pink-georgette-garden-party,n/a,,
/collection/midnight-zari-georgette,/collection/midnight-zari-georgette,https://www.fromthetrunk.shop/collection/midnight-zari-georgette,yes,200,verify robots in target row,/collection/midnight-zari-georgette,n/a,,
/collection/pressed-bloom-sheer-chiffon,/collection/pressed-bloom-sheer-chiffon,https://www.fromthetrunk.shop/collection/pressed-bloom-sheer-chiffon,yes,200,verify robots in target row,/collection/pressed-bloom-sheer-chiffon,n/a,,
/collection/mayil-peacock-kanjivaram-mix,/collection/mayil-peacock-kanjivaram-mix,https://www.fromthetrunk.shop/collection/mayil-peacock-kanjivaram-mix,yes,200,verify robots in target row,/collection/mayil-peacock-kanjivaram-mix,n/a,,
/collection/burnt-orange-temple-border-kanjivaram,/collection/burnt-orange-temple-border-kanjivaram,https://www.fromthetrunk.shop/collection/burnt-orange-temple-border-kanjivaram,yes,200,verify robots in target row,/collection/burnt-orange-temple-border-kanjivaram,n/a,,
/collection/semmanjal-turmeric-gold-kanjeevaram,/collection/semmanjal-turmeric-gold-kanjeevaram,https://www.fromthetrunk.shop/collection/semmanjal-turmeric-gold-kanjeevaram,yes,200,verify robots in target row,/collection/semmanjal-turmeric-gold-kanjeevaram,n/a,,
/collection/thangam-golden-weave-kanjivaram,/collection/thangam-golden-weave-kanjivaram,https://www.fromthetrunk.shop/collection/thangam-golden-weave-kanjivaram,yes,200,verify robots in target row,/collection/thangam-golden-weave-kanjivaram,n/a,,
/collection/violet-bloom-cotton-drape,/collection/violet-bloom-cotton-drape,https://www.fromthetrunk.shop/collection/violet-bloom-cotton-drape,yes,200,verify robots in target row,/collection/violet-bloom-cotton-drape,n/a,,
/collection/moss-green-lightweight-silk-selai,/collection/moss-green-lightweight-silk-selai,https://www.fromthetrunk.shop/collection/moss-green-lightweight-silk-selai,yes,200,verify robots in target row,/collection/moss-green-lightweight-silk-selai,n/a,,
/collection/heritage-zari-border-kanjivaram,/collection/heritage-zari-border-kanjivaram,https://www.fromthetrunk.shop/collection/heritage-zari-border-kanjivaram,yes,200,verify robots in target row,/collection/heritage-zari-border-kanjivaram,n/a,,
/collection/nava-pazham-kanjeevaram-silk,/collection/nava-pazham-kanjeevaram-silk,https://www.fromthetrunk.shop/collection/nava-pazham-kanjeevaram-silk,yes,200,verify robots in target row,/collection/nava-pazham-kanjeevaram-silk,n/a,,
/collection/nila-blue-gold-zari-silk,/collection/nila-blue-gold-zari-silk,https://www.fromthetrunk.shop/collection/nila-blue-gold-zari-silk,yes,200,verify robots in target row,/collection/nila-blue-gold-zari-silk,n/a,,
/collection/colorful-vintage-kanjeevaram,/collection/colorful-vintage-kanjeevaram,https://www.fromthetrunk.shop/collection/colorful-vintage-kanjeevaram,yes,200,verify robots in target row,/collection/colorful-vintage-kanjeevaram,n/a,,
/collection/gulabi-kota-cotton,/collection/gulabi-kota-cotton,https://www.fromthetrunk.shop/collection/gulabi-kota-cotton,yes,200,verify robots in target row,/collection/gulabi-kota-cotton,n/a,,
/collection/kempu-pachai-and-bandhani,/collection/kempu-pachai-and-bandhani,https://www.fromthetrunk.shop/collection/kempu-pachai-and-bandhani,yes,200,verify robots in target row,/collection/kempu-pachai-and-bandhani,n/a,,
/collection/pachai-linen-golden-border-drape,/collection/pachai-linen-golden-border-drape,https://www.fromthetrunk.shop/collection/pachai-linen-golden-border-drape,yes,200,verify robots in target row,/collection/pachai-linen-golden-border-drape,n/a,,
/404,/404,,no,missing,no/unknown,,n/a,,
/account/addresses,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Faddresses,,no,missing,no/unknown,,n/a,,
/account/orders,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Forders,,no,missing,no/unknown,,n/a,,
/account,/account,,no,missing,no/unknown,,n/a,,
/account/profile,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Fprofile,,no,missing,no/unknown,,n/a,,
/account/profile/verify-email,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Fprofile%2Fverify-email,,no,missing,no/unknown,,n/a,,
/account/sign-in,/account/sign-in,,no,missing,no/unknown,,n/a,,
/account/sign-up,/account/sign-up,,no,missing,no/unknown,,n/a,,
/account/wishlist,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Fwishlist,,no,missing,no/unknown,,n/a,,
/cart,/cart,,no,missing,no/unknown,,n/a,,
/checkout/confirmation,/checkout/confirmation,,no,missing,no/unknown,,n/a,,
/checkout,/checkout,,no,missing,no/unknown,,n/a,,
/founders,/our-team,https://www.fromthetrunk.shop/our-team,yes,200,verify robots in target row,/our-team | /founders,n/a,,
/privacy-policy,/policies/privacy-policy,https://www.fromthetrunk.shop/policies/privacy-policy,yes,200,verify robots in target row,/policies/privacy-policy | /privacy-policy,n/a,,
/return-policy,/policies/return-refund-policy,https://www.fromthetrunk.shop/policies/return-refund-policy,yes,200,verify robots in target row,/policies/return-refund-policy | /return-policy,n/a,,
/search,/search,,no,missing,no/unknown,,n/a,,
/shipping-policy,/policies/shipping-delivery-policy,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,yes,200,verify robots in target row,/policies/shipping-delivery-policy | /shipping-policy,n/a,,
/terms-of-service,/policies/terms-of-service,https://www.fromthetrunk.shop/policies/terms-of-service,yes,200,verify robots in target row,/policies/terms-of-service | /terms-of-service,n/a,,
/_global-error,/_global-error,,no,missing,no/unknown,,n/a,,
/_not-found,/_not-found,,no,missing,no/unknown,,n/a,,
/collection/fabric/chiffon,/collection/fabric/chiffon,https://www.fromthetrunk.shop/collection/fabric/chiffon,yes,200,verify robots in target row,/collection/fabric/chiffon,n/a,,
/collection/fabric/georgette,/collection/fabric/georgette,https://www.fromthetrunk.shop/collection/fabric/georgette,yes,200,verify robots in target row,/collection/fabric/georgette,n/a,,
/collection/fabric/kanjeevaram,/collection/fabric/kanjeevaram,https://www.fromthetrunk.shop/collection/fabric/kanjeevaram,yes,200,verify robots in target row,/collection/fabric/kanjeevaram,n/a,,
/collection/occasion/festive,/collection/occasion/festive,https://www.fromthetrunk.shop/collection/occasion/festive,yes,200,verify robots in target row,/collection/occasion/festive,n/a,,
/collection/occasion/wedding,/collection/occasion/wedding,https://www.fromthetrunk.shop/collection/occasion/wedding,yes,200,verify robots in target row,/collection/occasion/wedding,n/a,,
/faq,/faqs,https://www.fromthetrunk.shop/faqs,yes,200,verify robots in target row,/faqs | /faq,n/a,,
/about,/our-story,https://www.fromthetrunk.shop/our-story,yes,200,verify robots in target row,/our-story | /about | /stories,n/a,,
/stories,/our-story,https://www.fromthetrunk.shop/our-story,yes,200,verify robots in target row,/our-story | /about | /stories,n/a,,
/search?q=silk,/search?q=silk,,no,missing,no/unknown,,"noindex, follow; canonical ",,
/collection?fabric=silk,/collection?fabric=silk,https://www.fromthetrunk.shop/collection,no,200,verify robots in target row,/collection | /collection?fabric=silk | /collection?occasion=wedding | /collection?tags=top-viewed | /collection?type=blouse | /collection?sort=price-asc,"noindex, follow; canonical https://www.fromthetrunk.shop/collection",,
/collection?occasion=wedding,/collection?occasion=wedding,https://www.fromthetrunk.shop/collection,no,200,verify robots in target row,/collection | /collection?fabric=silk | /collection?occasion=wedding | /collection?tags=top-viewed | /collection?type=blouse | /collection?sort=price-asc,"noindex, follow; canonical https://www.fromthetrunk.shop/collection",,
/collection?tags=top-viewed,/collection?tags=top-viewed,https://www.fromthetrunk.shop/collection,no,200,verify robots in target row,/collection | /collection?fabric=silk | /collection?occasion=wedding | /collection?tags=top-viewed | /collection?type=blouse | /collection?sort=price-asc,"noindex, follow; canonical https://www.fromthetrunk.shop/collection",,
/collection?type=blouse,/collection?type=blouse,https://www.fromthetrunk.shop/collection,no,200,verify robots in target row,/collection | /collection?fabric=silk | /collection?occasion=wedding | /collection?tags=top-viewed | /collection?type=blouse | /collection?sort=price-asc,"noindex, follow; canonical https://www.fromthetrunk.shop/collection",,
/collection?sort=price-asc,/collection?sort=price-asc,https://www.fromthetrunk.shop/collection,no,200,verify robots in target row,/collection | /collection?fabric=silk | /collection?occasion=wedding | /collection?tags=top-viewed | /collection?type=blouse | /collection?sort=price-asc,"noindex, follow; canonical https://www.fromthetrunk.shop/collection",,
/seo-audit-definitely-missing,/seo-audit-definitely-missing,,no,missing,no/unknown,,n/a,,
/admin,/admin,,no,missing,no/unknown,,n/a,,
/admin/orders/seo-audit-placeholder/packing-slip,/admin/orders/seo-audit-placeholder/packing-slip,,no,missing,no/unknown,,n/a,,
/collection/stretchfit-blouse,/collection/stretchfit-blouse,https://www.fromthetrunk.shop/collection/stretchfit-blouse,yes,200,verify robots in target row,/collection/stretchfit-blouse,n/a,,
/collection/stretchfit-blouse-1,/collection/stretchfit-blouse-1,https://www.fromthetrunk.shop/collection/stretchfit-blouse-1,yes,200,verify robots in target row,/collection/stretchfit-blouse-1,n/a,,
/collection/sleeveless-cerise-pink-stretchfit-blouse,/collection/sleeveless-cerise-pink-stretchfit-blouse,https://www.fromthetrunk.shop/collection/sleeveless-cerise-pink-stretchfit-blouse,yes,200,verify robots in target row,/collection/sleeveless-cerise-pink-stretchfit-blouse,n/a,,
/collection/sleeveless-marigold-orange-stretchfit,/collection/sleeveless-marigold-orange-stretchfit,https://www.fromthetrunk.shop/collection/sleeveless-marigold-orange-stretchfit,yes,200,verify robots in target row,/collection/sleeveless-marigold-orange-stretchfit,n/a,,
/collection/sleeveless-black-stretchfit,/collection/sleeveless-black-stretchfit,https://www.fromthetrunk.shop/collection/sleeveless-black-stretchfit,yes,200,verify robots in target row,/collection/sleeveless-black-stretchfit,n/a,,
/collection/rose-vine-stripe-chiffon-saree,/collection/rose-vine-stripe-chiffon-saree,https://www.fromthetrunk.shop/collection/rose-vine-stripe-chiffon-saree,yes,200,verify robots in target row,/collection/rose-vine-stripe-chiffon-saree,n/a,,
/collection/coral-sunrise-chiffon-georgette-saree,/collection/coral-sunrise-chiffon-georgette-saree,https://www.fromthetrunk.shop/collection/coral-sunrise-chiffon-georgette-saree,yes,200,verify robots in target row,/collection/coral-sunrise-chiffon-georgette-saree,n/a,,
